"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bangladesh","BGD","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","90000","2339999.9","2200000","1543333.3","5419999.9","6980000","7700000","-8009999.9","8509999.9","5360000","6960000","403978.557545405","-553269.398283548","-6660000","2436499.3440436","3205086.7621919","1838242.49913628","247908.273938643","3238781.18895631","1390444.32247979","3721853.38228801","14049886.5245761","11147788.327757","1896372.12711773","13529831.5362586","139376153.115317","190059372.97475","179603006.318605","280384629.677983","78527040.0772573","52304931.038967","268285231.831689","448905400.707685","813321971.875196","456523167.703824","651029738.054822","1328422986.51751","901286583.13086","1232258246.59254","1264725163.33408","1584403459.98466","2602962095.36816","2539190939.6837","2831152765.15515","2332724780.71108","1810395803.56746","2421626238.43717","1908045387.02685","1525312160.40493","1723856464.12346","1634888030.42698","1385155351.84895",
"Bulgaria","BGR","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","4000000","55900000","41500000","40000000","105400000","90400000","109000000","504800000","537317256.150851","818788154.863275","1001503841.99968","812942201.973002","904659791.087722","2096788700.05598","3072550961.81564","4098122930.77934","7874476255.43262","13875270456.9117","10296720633.7243","3896664559.17164","1842900000","2103810000","1788110000","1989040000","1093600000","2221390000","1488430000","2007290000","1809860000","2221250000","3310660000","2335300000","4950920000","4058310000",
"Bahrain","BHR","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","3399999.9","110000","1320000","3210000","650000","22970508.3355514","145171539.850449","-418036875.019956","4150000","28457446.8841953","64095744.8513185","140691489.51761","101329787.234043","-31914893.6170213","-35904255.3191489","222074468.085106","180851063.829787","91755319.1489362","619414893.617021","868617021.276596","-275000007.923316","208244700.235544","430586743.724592","2048151879.61006","329284164.223769","179454413.27302","453737837.974613","363562321.906708","80358858.3697633","216986881.649309","516700276.442676","865308118.622994","1048601306.14142","2914659868.30075","1756312514.78198","1793998354.54447","257149561.420298","155771009.169721","780851063.829787","1544680851.06383","3727712765.95745","1518617021.2766","64893617.0212766","243351063.829787","1426063829.78723","1654255319.14894","941755319.148936","1021276595.74468","1779255319.14894","1951329787.23404","6839627659.57447",
"Bahamas, The","BHS","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","80319999.9","54659999.9","90430000","102250000","143440000","17579999.9","14600000","31400000","-1100000","9600000","4100000","34400000","2800000","-6000000","-4900000","-30200000","-13200000","10800000","36700000","25400000","-17000000","-1300000","300000","27300000","23600000","106900000","87800000","210000000","146900000","149300000","250250000","102370000","152790000","190200000","273600000","563414700","706380000","713350000","860156197.03","663960000","871970000","666621000","526171000","382252000","251277428.82","76075924.75","390400036.41","304587573.117333","491404689.229667","482229306.391","434599799.803594","383064779.121094","530913950.39875","322456455.071094",
"Bosnia and Herzegovina","BIH","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66736468.3604305","176780594.760508","146075610.876644","118495219.813023","267769568.956599","381784637.391406","889597294.548592","623812851.5592","845962876.359591","1841972230.25245","1004852659.85344","138511019.727863","443840207.092831","471610992.220788","391976946.375189","313295008.331529","544866345.45742","383089615.729344","313198153.358835","509429047.915133","601783317.146818","447875544.610653","483278992.870742","767542282.660214","851454276.30085","1035178227.48115",
"Belarus","BLR","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17600000","10500000","14700000","104500000","351600000","203200000","444000000","118800000","95800000","247100000","171800000","163800000","306600000","357100000","1807300000","2187900000","1876500000","1393400000","4002400000","1463600000","2246100000","1862000000","1652300000","1246900000","1276300000","1426500000","1273300000","1393200000","1230721861.86","1606417743.38","1992107728.25",
"Belize","BLZ","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","7089999.9","3339999.9","","","","","","","2000000","-50000","","-2000000","","","-3700000","3700000","4600000","6850000","14000000","18650000","17200000","13600000","15600000","9200000","15369500","21050000","16580000","11955000","17650000","58671500","29564651.9166666","61174888.8668778","25461176.8782397","-10924755.7533455","111496166.355423","126908465.922063","108828544.570357","140373737.268583","169668449.489583","108840086.423874","96449877.0838034","95348525.1917313","194201408.788436","92247730.9426541","141097030.34391","59119223.8981488","32733410.9928006","31831615.5013862","122041646.954707","93910241.7033733","76202813.5002132","125495493.195585","140907967.620593","16037530.5268891",
"Bermuda","BMU","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18000000","47400000","28700000","13900000","22800000","22400000","26000000","30700000","31300000","-88170000","617153591.794277","171529641.632488","-70747817.1664244","222710475.853259","-257865988.558357","47614095.0743783","54904045.8298395","-3425440.52413015","-143094386.12","-73213793.633562","-288109270.997092","95416371.5","4389826.5","476518083.75","49675691.875","20601100","21480000",
"Bolivia","BOL","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","19763999.9","1899999.9","16204999.9","4599999.9","44233000","61596999.9","-8100000","-1200000","11500000","35000000","47000000","75700000","31100000","7000000","7000000","10000000","10000000","38100000","-10100000","-24400000","27200000","52000000","93100000","123800000","130200000","392700000","474100000","730600000","949300000","1010500000","736350000","705756000","676543000","197400000","65430000","-238620000","280763457","366294241.538303","512335605.237139","423040000","621997989.548348","858941070.400943","1059965390.78481","1749612614.39791","656566350.80003","554643532.297183","335365530.426077","712474137.775022","302368781.37636","-216636843.1305","-1129487271.3377","583576424.725665","6236980.0828294","293692090.235586",
"Brazil","BRA","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","391699999.9","449000000","459899999.9","1180700000","1207900000","1302000000","1555000000","1833000000","2006000000","2419000000","1911000000","2520000000","2910000000","1609000000","1594000000","1441000000","345000000","1169000000","2804000000","1131000000","989000000","1103000000","2061000000","1292000000","3072000000","4859000000","12552000000","18992934310.6468","28855609916.42","28385675614.9902","32994718699.75","23225846372.251","16586600193.114","10123013670.9901","18161380459.7533","15459981604.1196","19418085598.0794","44579492463.6336","50716402711.4787","31480931700","82389932468.07","102427228231.42","92568388321.34","75211029129.4","87713983217.24","64738153494.44","74294627801.19","68885491315.23","78183840044.98","69174411753.45","38270116307.45","46440503520.19","74606361830.23","64227330465.83",
"Barbados","BRB","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","10868499.9945657","15656171.6384982","19139837.1938904","5630300.31036336","2397684.5342294","4489152.48326658","6897500","4914000","8987000","30305500","29300000","37300000","35150000","16150000","36000000","4850000","7750000","7100000","25979409.31","8682963.92","11213282.795","7424921.25","14450000","9402113.87","12950000","63803750.15","15836484.06","28203499.05","29160482.23","47539505.12","73696943.905","91504910.94","228343253.8","184701288.595","228334500","390061395.8643","342267498.215","476404576.96","615122884.63","356008255.11","425337312.585","459552936.365","528045664.5074","104089451.159478","753687476.11428","688525943.309105","557500316.04356","91481933.165","9204500","27828810","7500000","17664400","15000000","8000000",
"Brunei Darussalam","BRN","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","85530000","-17550000","-3779999.9","290000","2080000","850000","-30890000","-3290000","4570000","350000","-19570000","-11109999.9","6210000","3620000","800000","3669999.9","-6049999.9","-70000","460000","10000000","","","","","","","","","","","","60694643.6567848","229671955.675395","123820911.146426","113205866.961457","175068516.562807","87839128.3133848","257635717.488309","222184549.489168","325586827.786629","","","","","573906207.836339","171289167.823995","-150550827.310313","467927550.316567","516202620.629746","373256767.246304","565542275.429333","204749379.815089","-292416275.450752","-50992640.1915361",
"Bhutan","BTN","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","420000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6122702.14271106","73855769.764882","3144001.01949936","18299707.2343963","75274009.0283126","31141614.8601365","24380673.5733894","20433631.0650379","23534931.751976","6450953.8497443","11884162.3485119","-16553759.9525494","2649454.31118453","13011377.2857268","-2786960.89013149","6783112.48768633","8402097.14562732","11916048.289237",
"Botswana","BWA","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","70000","-38268702.2467827","11270002.8304612","12233365.1123827","40813517.2929934","127851715.071269","111550709.397601","88438639.8238063","21074900.8946108","23793769.119755","62154696.1525429","53611787.5922365","70404390.657485","113583514.209604","39921524.1272293","42186013.0205889","95889963.0424103","-8211493.7828439","-1564184.90561566","-286949434.086852","-14154569.0110668","70413220.7555472","71182310.7136661","100109748.737479","95318134.9210105","36675065.7829259","57171341.354862","30680571.2084682","407997392.45524","418040676.139807","390889251.855271","420854175.013436","486913109.102448","494634226.153715","520917902.314755","208699298.206301","218379837.568309","293208060.474684","146084155.211847","67136806.1634995","515184471.01724","378554181.530079","142522598.297582","260575129.351448","285955061.932015","93607130.0326021","31792610.4142283","-319055857.574533","709624140.359236","665417580.126418",
"Central African Republic","CAF","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","1200000","700000","1500000","-200000","5799999.9","5599999.9","3700000","-2845168.07135611","6084486.34383566","22757439.7367339","5343631.08528873","5781443.35245489","9153812.42838185","4469041.68570388","5149252.03381976","2991566.43558607","8160415.31776924","11898718.6498225","-3827452.80303765","1285233.01951129","697850.065105837","-4874038.73164914","-10676567.963142","-9980132.27944839","3602275.00892801","1424430","1489580","173040","301720","6500","","","1290","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","1827117680.30674","2273318428.36666","2110873961.07408","3184571500.54189","3723538434.68265","3386183402.57977","2450721215.75787","3371826624.08886","3740191707.68949","5307737031.12626","5813268734.78803","663720808.269735","90061244.1131481","4618560061.87692","5675261448.85168","1256760213.69256","2709677620.68495","8597306053.61165","7196400040.3342","7171648940.44922","8401707941.43435","3514220103.04375","7018240062.86526","4178460316.69705","9541029101.65658","13657593613.3371","8817677647.2938","15182400421.6905","24979208298.1649","27456044687.0987","68303350856.0836","28391098831.3382","24486425376.8819","7011792709.04631","1452416545.21802","25552226940.9281","64302303096.8668","120451484862.004","70119614332.5095","20951090410.3131","29714744325.4741","38338330427.428","49368985104.1991","67027866778.2682","64174605785.6347","59986208237.0735","34201872160.6085","25357801000.497","42603762048.5971","48942300762.2452","29123011879.2998","59125104306.8679","49984660121.8887","47745201181.1264",
"Central Europe and the Baltics","CEB","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","0","0","0","0","0","6000000","5000000","25000000","30000000","10000000","18000000","14000000","16000000","28000000","15000000","16000000","12000000","15000000","11000000","111000000","1849041210.2598","2499640711.57185","5563094008.72228","5377514695.24171","12558106072.37","11262472730.75","14298828886.7246","19665293910.2945","22103118135.4093","23562956308.4427","21625801492.5101","26481834432.6867","20414105077.8084","43043918533.3494","74726630916.3752","81628100565.9902","153392903966.077","138205391860.79","30444672817.104","21282742015.7894","50153510100.7102","39375483159.9541","15731078031.262","53836855849.5975","23462819795.6785","116332256719.116","30937237488.887","-18812850494.8409","153689624903.673","213073307469.99","121825168364.015","81814019005.2974","-1592979096.94688",
"Switzerland","CHE","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","642643620.490481","777125995.866918","1267334791.67726","2122388474.7415","2320291936.53845","405248411.125538","2497180494.21581","5544796309.51597","2838789160.79242","1128487634.09191","1706937974.44082","3682699144.72734","4158247959.95384","4880219415.70052","8391921105.89553","11345529735.0728","14541329307.9251","23080879762.6769","9765012889.09898","8258050580.1782","19721053893.3922","7102294152.7232","2664910821.00245","53760772986.3034","48688296542.6701","2990936685.10856","47658570354.7326","17670735602.9226","20764483834.5029","39943494321.6384","-24926465856.5785","21003091521.7734","118752400108.647","166801396968.929","143235966548.555","-160387834479.04","8774913614.47834","-241498368915.245","-117205528462.786","-10988929763.848","-52637267566.9725",
